x to x + n,qx,Ix,dx,Lx,Tx,ex
0-1,0.00720676309260147,100000.0,720.6763092601469,99639.66184536992,7426710.3905,74.267103905
1-2,0.0005039515777635743,99279.32369073985,50.031971813248944,99254.30770483323,7327070.72865463,73.80258503249708
2-3,0.0002834305962403532,99229.2917189266,28.12461731640331,99215.2294102684,7227816.420949796,72.83954461171662
3-4,0.0002348128266476969,99201.1671016102,23.293706453879608,99189.52024838327,7128601.191539528,71.86005366487083
4-5,0.00020440099245246042,99177.87339515632,20.27205575129442,99167.73736728067,7029411.671291145,70.87681385628953
5-6,0.00019014892635396287,99157.60133940502,18.854711434522137,99148.17398368777,6930243.933923864,69.89120188781533
6-7,0.0001847132250596389,99138.7466279705,18.31223761802283,99129.59050916148,6831095.759940176,68.90439905978079
7-8,0.00018146454854353213,99120.43439035247,17.986844878084106,99111.44096791343,6731966.169431015,67.9170365912586
8-9,0.00017595339670349553,99102.44754547438,17.43741226725621,99093.72883934075,6632854.728463101,66.92927261377207
9-10,0.00016949252228862566,99085.01013320712,16.794168288471308,99076.61304906289,6533760.999623761,65.9409631269145
10-11,0.00016964608057187523,99068.21596491865,16.806534547696526,99059.8126976448,6434684.386574698,64.95205676110392
11-12,0.00018956702480919083,99051.40943037096,18.77688098887245,99042.02098987652,6335624.573877053,63.962992655149804
12-13,0.0002449960484979455,99032.63254938209,24.262603646947632,99020.50124755861,6236582.552887177,62.97502542686966
13-14,0.00034527987191297377,99008.36994573515,34.18559729317575,98991.27714708856,6137562.051639618,61.99033531209043
14-15,0.0004797884204871287,98974.18434844197,47.48666757754087,98950.4410146532,6038570.77449253,61.0115740204894
15-16,0.0006236646315454451,98926.69768086442,61.69708245914395,98895.84913963485,5939620.333477877,60.04062070927481
16-17,0.0007640848845907203,98865.00059840528,75.541252572294,98827.22997211914,5840724.484338243,59.077777261779076
17-18,0.0009038677608198952,98789.45934583299,89.29260741152613,98744.81304212722,5741897.254366123,58.122569881321255
18-19,0.0010319618494525654,98700.16673842147,101.854806608658,98649.23933511713,5643152.441323996,57.17470018343201
19-20,0.0011412411032753309,98598.31193181282,112.52444629014728,98542.04970866774,5544503.201988879,56.233246729652585
20-21,0.0012473905567564948,98485.78748552267,122.85024128416795,98424.36236488058,5445961.1522802105,55.29692447329786
21-22,0.0013373827870301381,98362.9372442385,131.54889915217026,98297.16279466242,5347536.78991533,54.365363009008306
22-23,0.0013826108747679333,98231.38834508634,135.8157857694684,98163.4804522016,5249239.627120667,53.437498090530056
23-24,0.0013761021726190243,98095.57255931686,134.98953052318308,98028.07779405527,5151076.146668466,52.51079138718203
24-25,0.0013341711944886904,97960.58302879368,130.6961880723342,97895.23493475752,5053048.06887441,51.582462176538506
25-26,0.0012820548926875896,97829.88684072134,125.42328507522004,97767.17519818373,4955152.833939653,50.65070597502815
26-27,0.0012409532276746143,97704.46355564613,121.24666940759579,97643.84022094234,4857385.6587414695,49.71508446975933
27-28,0.0012128285605365792,97583.21688623853,118.35171246866548,97524.0410300042,4759741.818520527,48.77623397135373
28-29,0.0012055532263080056,97464.86517376987,117.49908266191304,97406.11563243892,4662217.777490523,47.834855865016245
29-30,0.0012174121229417975,97347.36609110795,118.51186361576808,97288.11015930006,4564811.661858084,46.891989430775666
30-31,0.0012377385435350836,97228.85422749218,120.34390042112113,97168.68227728162,4467523.551698783,45.948536442133225
31-32,0.0012715985833335127,97108.51032707105,123.48304416153134,97046.7688049903,4370354.869421502,45.00485956072969
32-33,0.001332143959175977,96985.02728290952,129.19801822544522,96920.4282737968,4273308.100616511,44.06152393143208
33-34,0.0014190096609078336,96855.82926468407,137.43935744182636,96787.10958596316,4176387.672342714,43.11963156011637
34-35,0.0015244506934391597,96718.38990724225,147.44241656241448,96644.66869896105,4079600.5627567507,42.18019516939116
35-36,0.0016416533146915717,96570.94749067984,158.5360160509803,96491.67948265435,3982955.89405779,41.24383158239375
36-37,0.0017695258045061695,96412.41147462887,170.60424997902248,96327.10934963936,3886464.2145751356,40.31082881479286
37-38,0.0019113666914493805,96241.80722464985,183.95338465408807,96149.8305323228,3790137.1052254965,39.38139998117939
38-39,0.00206919216069809,96057.85383999576,198.76215813920214,95958.47276092616,3693987.274693174,38.45585891234125
39-40,0.002245003237627036,95859.09168185656,215.20397118175484,95751.48969626568,3598028.801932248,37.53455972516015
40-41,0.002440386022747542,95643.88771067481,233.4080067303662,95527.18370730962,3502277.312235982,36.61788950727787
41-42,0.002655545468300644,95410.47970394444,253.3668670062002,95283.79627044134,3406750.1285286727,35.70624672572348
42-43,0.0028907355442708512,95157.11283693823,275.07404836792944,95019.57581275426,3311466.3322582315,34.79998744742055
43-44,0.0031474712785599015,94882.03878857031,298.63849193823154,94732.71954260119,3216446.7564454773,33.8994270940238
44-45,0.0034274738523508777,94583.40029663208,324.18213138314275,94421.30923094052,3121714.036902876,33.004882750171475
45-46,0.003732668347601591,94259.21816524894,351.8384001150976,94083.2989651914,3027292.7276719357,32.11667555277924
46-47,0.004065186060748385,93907.37976513384,381.750971222627,93716.50427952253,2933209.428706744,31.235132276534813
47-48,0.00442737078866077,93525.62879391121,414.07263691329314,93318.59247545456,2839492.9244272215,30.360586301795394
48-49,0.00482178853311294,93111.55615699792,448.9642337781141,92887.07404010886,2746174.331951767,29.493378107883498
49-50,0.00525124015676324,92662.5919232198,486.5935237369769,92419.29516135131,2653287.2579116584,28.633855397765814
50-51,0.005718776623079741,92175.99839948284,527.133944855998,91912.43142705483,2560867.9627503073,27.78237293022557
51-52,0.0062277165467482356,91648.86445462683,570.7631496547657,91363.48287979946,2468955.5313232522,26.93929211251246
52-53,0.006781665861523249,91078.10130497206,617.661250352285,90769.27067979593,2377592.048443453,26.10498038910762
53-54,0.0073845394765205494,90460.44005461977,668.0086906467604,90126.43570929639,2286822.777763657,25.279810449549874
54-55,0.008040584839812442,89792.43136397301,721.9836623550606,89431.43953279548,2196696.3420543605,24.464159269171216
55-56,0.008754407361368614,89070.44770161794,779.7589830394423,88680.56821009822,2107264.902521565,23.658406990170402
56-57,0.00953099766771992,88290.6887185785,841.4983482581572,87869.93954444943,2018584.334311467,22.862935645972687
57-58,0.010375760669897873,87449.19037032034,907.3518700587816,86995.51443529096,1930714.3947670176,22.078127728696376
58-59,0.011294546425538272,86541.83850026155,977.4508126926396,86053.11309391524,1843718.8803317265,21.304364597317335
59-60,0.012293682766407485,85564.38768756892,1051.9014383328747,85038.43696840249,1757665.7672378113,20.542024722432167
60-61,0.013380009644457291,84512.48624923604,1130.7778810918423,83947.09730869012,1672627.3302694089,19.791481762075467
61-62,0.014560915122887206,83381.7083681442,1214.1139783498816,82774.65137896925,1588680.2329607187,19.053102461590612
62-63,0.015844372903294535,82167.59438979432,1301.8940060785533,81516.64738675505,1505905.5815817495,18.327244368843193
63-64,0.01723898123524398,80865.70038371577,1394.042291489738,80168.6792379709,1424388.9341949944,17.614253353846287
64-65,0.018754002999669596,79471.65809222603,1490.4117142503235,78726.45223510088,1344220.2549570235,16.9144609188482
65-66,0.02039940669142552,77981.24637797571,1590.7711591685797,77185.86079839143,1265493.8027219228,16.228181280766716
66-67,0.021974309706198302,76390.47521880713,1678.6279610617344,75551.16123827627,1188307.9419235312,15.555708202100215
67-68,0.02398794084166729,74711.8472577454,1792.183372190479,73815.75557165015,1112756.780685255,14.89398029266229
68-69,0.026181152963852736,72919.66388555491,1909.1208742604413,71965.10344842469,1038941.025113605,14.247748409046286
69-70,0.02856902038544003,71010.54301129447,2028.701650870838,69996.19218585905,966975.9216651802,13.617357094584946
70-71,0.031167704247160317,68981.84136042364,2150.0056299462153,67906.83854545053,896979.7294793212,13.003128240556617
71-72,0.03399449660003827,66831.83573047743,2271.914612514031,65695.87842422041,829072.8909338706,12.40535864191124
72-73,0.037067859117077585,64559.92111796339,2393.098060610309,63363.37208765824,763377.0125096502,11.82431761517821
73-74,0.040407454578951583,62166.82305735308,2512.003079007715,60910.821517849225,700013.6404219919,11.260244709242777
74-75,0.04403416897345077,59654.81997834537,2626.8504230072467,58341.394766841746,639102.8189041427,10.713347540670416
75-76,0.047970121721523595,57027.969555338124,2735.6386411009116,55660.15023478767,580761.4241373009,10.183799785713019
76-77,0.052238661199438194,54292.33091423721,2836.158680356622,52874.2515740589,525101.2739025133,9.671739360978785
77-78,0.056864342375511086,51456.172233880585,2926.0213952406525,49993.16153626026,472227.0223284544,9.177266823930662
78-79,0.06187288303319031,48530.15083863993,3002.7003464222507,47028.800665428804,422233.86079219414,8.700444022852894
79-80,0.0672910947264538,45527.45049221768,3063.591983725755,43995.6545003548,375205.06012676534,8.241293023664959
80-81,0.07314678432983908,42463.858508491925,3106.094700133461,40910.8111584252,331209.40562641056,7.799795337961935
81-82,0.0794686218307118,39357.76380835846,3127.7072481889136,37793.910184264,290298.5944679854,7.375891472938163
82-83,0.08628596989821723,36230.05656016955,3126.1455697614974,34666.9837752888,252504.68428372138,6.969480819450857
83-84,0.09362867079016497,33103.910990408054,3099.47518398784,31554.173398414136,217837.70050843258,6.580421889472565
84-85,0.1015267863697172,30004.435806420213,3046.2539442623183,28481.308834289055,186283.52711001845,6.208532908662736
85-86,0.1100102874462853,26958.181862157897,2965.677335685225,25475.343194315283,157802.2182757294,5.853592763881516
86-87,0.11910868937984516,23992.504526472672,2857.7157690881627,22563.64664192859,132326.87508141412,5.5153422993172
87-88,0.12885063194454155,21134.78875738451,2723.230887403386,19773.17331368282,109763.22843948554,5.193485948665287
88-89,0.1392634028803728,18411.557869981123,2564.0562013024796,17129.52976932988,89990.05512580273,4.887693684656951
89-90,0.15037240640466876,15847.501668678644,2383.026961421211,14655.988187968038,72860.52535647285,4.597603261369331
90-91,0.1622005802240941,13464.474707257432,2183.945609929795,12372.501902292535,58204.53716850481,4.3228227193395234
91-92,0.17476776727369467,11280.529097327637,1971.4728840058974,10294.792655324689,45832.035266212275,4.062933118719574
92-93,0.18809005146899807,9309.056213321739,1750.9408622914823,8433.585782175998,35537.24261088759,3.817491461704997
93-94,0.2021790701056265,7558.1153510302565,1528.0927334223582,6794.068984319078,27103.656828711588,3.586033762373983
94-95,0.2170413190455014,6030.022617607899,1308.7640627998253,5375.6405862079855,20309.58784439251,3.3680782199867263
95=96,0.23267747030534455,4721.258554808073,1098.5304971902094,4171.9933062129685,14933.947258184526,3.1631284507763238
96-97,0.2490817248774534,3622.728057617864,902.355353353404,3171.550380941162,10761.953951971558,2.9706767333367314
97-98,0.26624122628768665,2720.37270426446,724.2753647429201,2358.235021893,7590.403571030396,2.79020722386005
98-99,0.2841355622264876,1996.0973395215399,567.1622398237489,1712.5162196096655,5232.1685491373955,2.621199099634858
99-100,0.3027363822660157,1428.935099697791,432.5906425754377,1212.639778410072,3519.65232952773,2.463129592290168
100-101,0.3220071589159288,996.3444571223533,320.8300479396024,835.9294331525521,2307.0125511176584,2.3154768761205164
101-102,0.3419031168490297,675.5144091827509,230.96048197601334,560.0341681947442,1471.0831179651063,2.177722781287298
102-103,0.36237135092150047,444.55392720673757,161.09360715936387,364.00712362705565,911.0489497703621,2.0493553065535814
103-104,0.38335114762947914,283.46032004737367,108.66483899758015,229.1279005485836,547.0418261433065,1.9298709112156558
104-105,0.40477451705158174,174.79548104979352,70.75275642472909,139.419102837429,317.91392559472285,1.8187765706835382
105-106,0.4265669334622731,104.04272462506444,44.38118599237347,81.8521316288777,178.49482275729386,1.7155915841355573
106-107,0.44864827316099704,59.66153863269097,26.767046281684916,46.278015491848514,96.64269112841616,1.6198491246328957
107-108,0.4709339282740592,32.89449235100606,15.491132501440276,25.14892610028592,50.36467563656765,1.531097519279007
108-109,0.4933360660563087,17.40335984956578,8.585705084347095,13.110507307392234,25.215749536281727,1.448901232534755
109-110,0.5157649952643198,8.817654765218686,4.547837668225423,6.543735931105974,12.105242228889493,1.3728414812336183
